00000d54,k_LPF_iq0_2(6),0
00000d58,s_LPF_vd0_2(6),0
00000d5c,k_LPF_vd0_2(6),0
00000d60,s_LPF_vq0_2(6),0
00000d64,k_LPF_vq0_2(6),0
00000d68,Nerr_2(6),0
00000d6c,s_kiASR_2(6),0
00000d70,Nref0_2(6),0
00000d74,Nrpm_ref_2(6),0
00000d78,Nrpm_ref0_2(6),0
00000d7c,s_LPF_N_2(6),0
00000d80,k_LPF_N_2(6),0
00000d84,s_LPF_N2_2(6),0
00000d88,k_LPF_N2_2(6),0
00000d98,itemp_u(6),0
00000d9c,itemp_v(6),0
00000da0,itemp_w(6),0
00000da4,TMP_T(6),0
00000da8,TMP_P(6),0
00000dac,TMP_HP(6),0
00000db0,TMP_DEAD(6),0
00000db4,command_t(6),0
00003000,dtc_table(0),0
